ProductName,UnitPrice
"Cte de Blaye",263.5000
"Thringer Rostbratwurst",123.7900
"Mishi Kobe Niku",97.0000
"Sir Rodney's Marmalade",81.0000
"Carnarvon Tigers",62.5000
"Raclette Courdavault",55.0000
"Manjimup Dried Apples",53.0000
"Tarte au sucre",49.3000
"Ipoh Coffee",46.0000
"Rssle Sauerkraut",45.6000
"Schoggi Schokolade",43.9000
Vegie-spread,43.9000
"Northwoods Cranberry Sauce",40.0000
"Alice Mutton",39.0000
"Gnocchi di nonna Alice",38.0000
"Queso Manchego La Pastora",38.0000
Gudbrandsdalsost,36.0000
"Mozzarella di Giovanni",34.8000
"Camembert Pierrot",34.0000
"Wimmers gute Semmelkndel",33.2500
"Perth Pasties",32.8000
"Mascarpone Fabioli",32.0000
"Gumbr Gummibrchen",31.2300
Ikura,31.0000
"Uncle Bob's Organic Dried Pears",30.0000
"Sirop d'rable",28.5000
"Gravad lax",26.0000
"Nord-Ost Matjeshering",25.8900
"Grandma's Boysenberry Spread",25.0000
"Pt chinois",24.0000
Tofu,23.2500
"Chef Anton's Cajun Seasoning",22.0000
Flotemysost,21.5000
"Chef Anton's Gumbo Mix",21.3500
"Louisiana Fiery Hot Pepper Sauce",21.0500
"Queso Cabrales",21.0000
"Gustaf's Knckebrd",21.0000
Maxilaku,20.0000
"Ravioli Angelo",19.5000
"Gula Malacca",19.4500
Chang,19.0000
"Inlagd Sill",19.0000
"Boston Crab Meat",18.4000
"Steeleye Stout",18.0000
"Chartreuse verte",18.0000
Chai,18.0000
Lakkalikri,18.0000
Pavlova,17.4500
"Louisiana Hot Spiced Okra",17.0000
"Valkoinen suklaa",16.2500
"Genen Shouyu",15.5000
"Outback Lager",15.0000
"Rd Kaviar",15.0000
"NuNuCa Nu-Nougat-Creme",14.0000
"Sasquatch Ale",14.0000
"Singaporean Hokkien Fried Mee",14.0000
"Laughing Lumberjack Lager",14.0000
"Escargots de Bourgogne",13.2500
"Original Frankfurter grne Soe",13.0000
Chocolade,12.7500
"Gorgonzola Telino",12.5000
"Scottish Longbreads",12.5000
Spegesild,12.0000
"Sir Rodney's Scones",10.0000
"Aniseed Syrup",10.0000
"Longlife Tofu",10.0000
"Jack's New England Clam Chowder",9.6500
"Rogede sild",9.5000
"Zaanse koeken",9.5000
"Teatime Chocolate Biscuits",9.2000
Tunnbrd,9.0000
"Rhnbru Klosterbier",7.7500
Tourtire,7.4500
"Filo Mix",7.0000
Konbu,6.0000
"Guaran Fantstica",4.5000
Geitost,2.5000
